group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k,name_of_run
10,0,0,0,2020-03-25,50,50,2039,2039,20,18,12,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,1,0,0,2020-03-25,50,50,2255,2255,16,18,16,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,2,0,0,2020-03-25,50,50,2232,2232,16,21,13,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,3,0,0,2020-03-25,50,50,1988,1988,21,17,12,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,4,0,0,2020-03-25,50,50,2391,2391,17,14,19,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,5,0,0,2020-03-25,50,50,2086,2086,16,25,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,6,0,0,2020-03-25,50,50,2325,2325,14,20,16,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,7,0,0,2020-03-25,50,50,2236,2236,18,19,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,8,0,0,2020-03-25,50,50,2109,2109,16,27,7,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,9,0,0,2020-03-25,50,50,2193,2193,15,20,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,10,0,0,2020-03-25,50,50,2340,2340,13,21,16,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,11,0,0,2020-03-25,50,50,1928,1928,21,19,10,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,12,0,0,2020-03-25,50,50,2165,2165,17,21,12,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,13,0,0,2020-03-25,50,50,2288,2288,12,22,16,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,14,0,0,2020-03-25,50,50,2626,2626,9,22,19,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,15,0,0,2020-03-25,50,50,2074,2074,17,22,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,16,0,0,2020-03-25,50,50,2187,2187,20,15,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,17,0,0,2020-03-25,50,50,2245,2245,14,28,8,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,18,0,0,2020-03-25,50,50,2359,2359,12,24,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,19,0,0,2020-03-25,50,50,2212,2212,17,17,16,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,20,0,0,2020-03-25,50,50,2275,2275,13,24,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,21,0,0,2020-03-25,50,50,2256,2256,17,15,18,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,22,0,0,2020-03-25,50,50,2247,2247,17,20,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,23,0,0,2020-03-25,50,50,2370,2370,11,22,17,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,24,0,0,2020-03-25,50,50,2513,2513,13,15,22,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,25,0,0,2020-03-25,50,50,2061,2061,19,20,11,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,26,0,0,2020-03-25,50,50,2197,2197,16,19,15,9.87757489700412,0.999960001599936,49.9980000799968,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,27,0,0,2020-03-25,50,50,2139,2139,18,22,10,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,28,0,0,2020-03-25,50,50,2242,2242,16,25,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,29,0,0,2020-03-25,50,50,2092,2092,21,18,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,30,0,0,2020-03-25,50,50,2188,2188,15,24,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,31,0,0,2020-03-25,50,50,2109,2109,18,19,13,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,32,0,0,2020-03-25,50,50,2611,2611,10,18,22,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,33,0,0,2020-03-25,50,50,2070,2070,20,15,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,34,0,0,2020-03-25,50,50,1975,1975,23,15,12,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,35,0,0,2020-03-25,50,50,2132,2132,16,25,9,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,36,0,0,2020-03-25,50,50,2211,2211,17,16,17,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,37,0,0,2020-03-25,50,50,2216,2216,15,24,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,38,0,0,2020-03-25,50,50,2325,2325,12,23,15,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,39,0,0,2020-03-25,50,50,2254,2254,16,18,16,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,40,0,0,2020-03-25,50,50,2276,2276,15,20,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,41,0,0,2020-03-25,50,50,1917,1917,22,20,8,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,42,0,0,2020-03-25,50,50,2355,2355,16,16,18,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,43,0,0,2020-03-25,50,50,2413,2413,9,26,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,44,0,0,2020-03-25,50,50,2073,2073,19,21,10,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,45,0,0,2020-03-25,50,50,2151,2151,18,18,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,46,0,0,2020-03-25,50,50,2137,2137,18,17,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,47,0,0,2020-03-25,50,50,2094,2094,23,13,14,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,48,0,0,2020-03-25,50,50,2353,2353,12,24,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,49,0,0,2020-03-25,50,50,2188,2188,16,21,13,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,50,0,0,2020-03-25,50,50,1849,1849,20,21,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,51,0,0,2020-03-25,50,50,2010,2010,21,17,12,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,52,0,0,2020-03-25,50,50,2077,2077,19,21,10,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,53,0,0,2020-03-25,50,50,2326,2326,14,19,17,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,54,0,0,2020-03-25,50,50,2582,2582,7,28,15,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,55,0,0,2020-03-25,50,50,2196,2196,15,22,13,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,56,0,0,2020-03-25,50,50,2350,2350,15,18,17,9.877377357358558,0.999940003599784,49.9970001799892,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,57,0,0,2020-03-25,50,50,2370,2370,12,23,15,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,58,0,0,2020-03-25,50,50,2115,2115,18,15,17,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,59,0,0,2020-03-25,50,50,2283,2283,16,15,19,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,no_reduction_of_work_10_5
10,0,17,1,2020-03-26,35,85,1437,3476,33,31,21,9.87797,1.0,85.0,83.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,1,17,1,2020-03-26,32,82,1301,3556,28,32,22,9.877871221287787,0.999990000099999,81.99918000819993,80.086483263384,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,2,17,1,2020-03-26,29,79,1326,3558,24,34,21,9.877871221287787,0.999990000099999,78.99921000789992,77.08651326308399,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,3,17,1,2020-03-26,28,78,1113,3101,32,27,19,9.877871221287787,0.999990000099999,77.99922000779992,76.086523262984,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,4,17,1,2020-03-26,25,75,1289,3680,24,20,31,9.877871221287787,0.999990000099999,74.99925000749992,73.08655326268399,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,5,17,1,2020-03-26,32,82,1214,3300,28,41,13,9.87797,1.0,82.0,80.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,6,17,1,2020-03-26,32,82,1359,3684,26,31,25,9.877871221287787,0.999990000099999,81.99918000819993,80.086483263384,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,7,17,1,2020-03-26,25,75,1175,3411,25,30,20,9.87797,1.0,75.0,73.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,8,17,1,2020-03-26,30,80,1181,3290,27,43,10,9.877871221287787,0.999990000099999,79.99920000799992,78.086503263184,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,9,17,1,2020-03-26,28,78,1370,3563,20,31,27,9.87797,1.0,78.0,76.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,10,17,1,2020-03-26,36,86,1685,4025,24,33,29,9.87797,1.0,86.0,84.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,11,17,1,2020-03-26,27,77,1081,3009,33,26,18,9.877871221287787,0.999990000099999,76.99923000769992,75.08653326288399,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,12,17,1,2020-03-26,27,77,1150,3315,26,34,17,9.877871221287787,0.999990000099999,76.99923000769992,75.08653326288399,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,13,17,1,2020-03-26,35,85,1554,3842,21,36,28,9.87797,1.0,85.0,83.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,14,17,1,2020-03-26,30,80,1530,4156,15,35,30,9.87797,1.0,80.0,78.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,15,17,1,2020-03-26,26,76,1258,3332,22,36,18,9.87797,1.0,76.0,74.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,16,17,1,2020-03-26,29,79,1431,3618,29,23,27,9.87797,1.0,79.0,77.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,17,17,1,2020-03-26,32,82,1404,3649,24,45,13,9.87797,1.0,82.0,80.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,18,17,1,2020-03-26,31,81,1465,3824,19,41,21,9.87797,1.0,81.0,79.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,19,17,1,2020-03-26,30,80,1384,3596,26,26,28,9.87797,1.0,80.0,78.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,20,17,1,2020-03-26,25,75,1106,3381,20,36,19,9.87797,1.0,75.0,73.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,21,17,1,2020-03-26,29,79,1264,3520,28,23,28,9.87797,1.0,79.0,77.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,22,17,1,2020-03-26,33,83,1451,3698,28,35,20,9.87797,1.0,83.0,81.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,23,17,1,2020-03-26,33,83,1504,3874,18,38,27,9.877772444551109,0.999980000399992,82.99834003319934,81.08614327338377,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,24,17,1,2020-03-26,30,80,1589,4102,21,22,37,9.877871221287787,0.999990000099999,79.99920000799992,78.086503263184,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,25,17,1,2020-03-26,27,77,1133,3194,28,31,18,9.877871221287787,0.999990000099999,76.99923000769992,75.08653326288399,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,26,17,1,2020-03-26,33,83,1504,3701,25,33,25,9.87757489700412,0.999960001599936,82.9966801327947,81.08548331298192,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,27,17,1,2020-03-26,28,78,1215,3354,29,32,17,9.877871221287787,0.999990000099999,77.99922000779992,76.086523262984,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,28,17,1,2020-03-26,31,81,1406,3648,25,41,15,9.87797,1.0,81.0,79.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,29,17,1,2020-03-26,35,85,1522,3614,33,33,19,9.87797,1.0,85.0,83.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,30,17,1,2020-03-26,27,77,1306,3494,21,37,19,9.87797,1.0,77.0,75.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,31,17,1,2020-03-26,34,84,1401,3510,30,34,20,9.877871221287787,0.999990000099999,83.99916000839993,82.086463263584,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,32,17,1,2020-03-26,26,76,1240,3851,16,29,31,9.877871221287787,0.999990000099999,75.99924000759992,74.086543262784,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,33,17,1,2020-03-26,27,77,1224,3294,28,25,24,9.87797,1.0,77.0,75.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
10,34,17,1,2020-03-26,36,86,1369,3344,41,26,19,9.87797,1.0,86.0,84.08680326018403,2020-03-26,545.0,55.17327953010588,no_reduction_of_work_10_5
