group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k,name_of_run
10,0,0,0,2020-03-25,50,50,2259,2259,20,12,18,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,1,0,0,2020-03-25,50,50,2274,2274,17,19,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,2,0,0,2020-03-25,50,50,2132,2132,16,20,14,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,3,0,0,2020-03-25,50,50,2345,2345,15,18,17,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,4,0,0,2020-03-25,50,50,2386,2386,14,18,18,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,5,0,0,2020-03-25,50,50,2439,2439,12,21,17,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,6,0,0,2020-03-25,50,50,2065,2065,17,24,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,7,0,0,2020-03-25,50,50,2069,2069,20,21,9,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,8,0,0,2020-03-25,50,50,2653,2653,10,18,22,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,9,0,0,2020-03-25,50,50,2122,2122,18,19,13,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,10,0,0,2020-03-25,50,50,2270,2270,18,14,18,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,11,0,0,2020-03-25,50,50,2062,2062,20,16,14,9.877772444551109,0.999980000399992,49.9990000199996,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,12,0,0,2020-03-25,50,50,2092,2092,18,20,12,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,13,0,0,2020-03-25,50,50,2225,2225,15,20,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,14,0,0,2020-03-25,50,50,2293,2293,16,17,17,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,15,0,0,2020-03-25,50,50,2227,2227,17,16,17,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,16,0,0,2020-03-25,50,50,2267,2267,18,14,18,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,17,0,0,2020-03-25,50,50,2214,2214,16,19,15,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,18,0,0,2020-03-25,50,50,1992,1992,17,27,6,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,19,0,0,2020-03-25,50,50,2196,2196,16,20,14,9.877871221287787,0.999990000099999,49.99950000499995,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,20,0,0,2020-03-25,50,50,2407,2407,11,26,13,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,21,0,0,2020-03-25,50,50,1908,1908,21,18,11,9.87797,1.0,50.0,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
10,22,0,0,2020-03-25,50,50,2328,2328,13,21,16,9.877673669789907,0.999970000899973,49.99850004499865,48.08680326018403,2020-03-25,475.0,48.08680326018403,open_universities_10_5
