group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k,name_of_run
2,0,0,0,2020-03-19,50,50,2328,2328,14,16,20,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,1,0,0,2020-03-19,50,50,2338,2338,16,13,21,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,2,0,0,2020-03-19,50,50,2284,2284,13,22,15,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,3,0,0,2020-03-19,50,50,2199,2199,15,22,13,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,4,0,0,2020-03-19,50,50,2168,2168,15,24,11,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,5,0,0,2020-03-19,50,50,2286,2286,16,19,15,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,6,0,0,2020-03-19,50,50,2111,2111,22,9,19,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,7,0,0,2020-03-19,50,50,2401,2401,11,22,17,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,8,0,0,2020-03-19,50,50,2254,2254,13,24,13,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,9,0,0,2020-03-19,50,50,2062,2062,15,25,10,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,10,0,0,2020-03-19,50,50,2069,2069,18,19,13,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,11,0,0,2020-03-19,50,50,2521,2521,10,24,16,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,12,0,0,2020-03-19,50,50,2227,2227,15,18,17,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,13,0,0,2020-03-19,50,50,2069,2069,13,24,13,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,14,0,0,2020-03-19,50,50,2150,2150,16,20,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,15,0,0,2020-03-19,50,50,2271,2271,15,18,17,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,16,0,0,2020-03-19,50,50,2372,2372,15,15,20,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,17,0,0,2020-03-19,50,50,2233,2233,14,20,16,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,18,0,0,2020-03-19,50,50,2062,2062,20,16,14,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,19,0,0,2020-03-19,50,50,2573,2573,9,23,18,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,20,0,0,2020-03-19,50,50,2345,2345,14,17,19,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,21,0,0,2020-03-19,50,50,2394,2394,13,19,18,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,22,0,0,2020-03-19,50,50,2286,2286,15,19,16,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,23,0,0,2020-03-19,50,50,2188,2188,20,10,20,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,24,0,0,2020-03-19,50,50,2094,2094,19,17,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,25,0,0,2020-03-19,50,50,2121,2121,15,23,12,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,26,0,0,2020-03-19,50,50,1902,1902,20,19,11,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,27,0,0,2020-03-19,50,50,2287,2287,17,18,15,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,28,0,0,2020-03-19,50,50,2501,2501,14,15,21,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,29,0,0,2020-03-19,50,50,2143,2143,16,20,14,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,30,0,0,2020-03-19,50,50,2023,2023,20,19,11,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,31,0,0,2020-03-19,50,50,2031,2031,18,18,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,32,0,0,2020-03-19,50,50,2472,2472,12,17,21,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,33,0,0,2020-03-19,50,50,2076,2076,21,13,16,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,34,0,0,2020-03-19,50,50,2056,2056,17,18,15,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,35,0,0,2020-03-19,50,50,2157,2157,16,19,15,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,36,0,0,2020-03-19,50,50,2291,2291,15,17,18,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,37,0,0,2020-03-19,50,50,2184,2184,19,14,17,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,38,0,0,2020-03-19,50,50,2197,2197,15,21,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,39,0,0,2020-03-19,50,50,2355,2355,12,20,18,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,40,0,0,2020-03-19,50,50,2235,2235,16,16,18,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,41,0,0,2020-03-19,50,50,2044,2044,19,17,14,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,42,0,0,2020-03-19,50,50,2082,2082,18,19,13,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,43,0,0,2020-03-19,50,50,2215,2215,15,23,12,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,44,0,0,2020-03-19,50,50,2113,2113,20,16,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,45,0,0,2020-03-19,50,50,1923,1923,18,23,9,18.46078156873725,0.999960001599936,49.9980000799968,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,46,0,0,2020-03-19,50,50,2111,2111,17,18,15,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,47,0,0,2020-03-19,50,50,2352,2352,16,16,18,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,48,0,0,2020-03-19,50,50,2029,2029,19,18,13,18.46115077698446,0.999980000399992,49.9990000199996,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,49,0,0,2020-03-19,50,50,2371,2371,12,21,17,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,50,0,0,2020-03-19,50,50,2016,2016,17,22,11,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,51,0,0,2020-03-19,50,50,2481,2481,14,15,21,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,52,0,0,2020-03-19,50,50,2611,2611,14,13,23,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,53,0,0,2020-03-19,50,50,2050,2050,19,14,17,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,54,0,0,2020-03-19,50,50,1969,1969,21,17,12,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,55,0,0,2020-03-19,50,50,2161,2161,17,16,17,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,56,0,0,2020-03-19,50,50,2219,2219,16,18,16,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,57,0,0,2020-03-19,50,50,2350,2350,14,17,19,18.46096617101487,0.999970000899973,49.99850004499865,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,58,0,0,2020-03-19,50,50,2103,2103,17,20,13,18.461335386646134,0.999990000099999,49.99950000499995,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,59,0,0,2020-03-19,50,50,2219,2219,18,18,14,18.46152,1.0,50.0,47.287547287547284,2020-03-19,873.0,47.287547287547284,standard_2_5
2,0,17,1,2020-03-20,29,79,1358,3686,22,27,30,18.46152,1.0,79.0,76.28754728754728,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,1,17,1,2020-03-20,31,81,1500,3838,26,18,37,18.46152,1.0,81.0,78.28754728754728,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,2,17,1,2020-03-20,27,77,1216,3500,19,36,22,18.461335386646134,0.999990000099999,76.99923000769992,74.28727729024726,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,3,17,1,2020-03-20,34,84,1470,3669,26,36,22,18.461335386646134,0.999990000099999,83.99916000839993,81.28720729094726,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,4,17,1,2020-03-20,33,83,1296,3464,28,38,17,18.461335386646134,0.999990000099999,82.99917000829993,80.28721729084725,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,5,17,1,2020-03-20,32,82,1354,3640,28,31,23,18.46115077698446,0.999980000399992,81.99836003279934,79.28690730034702,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,6,17,1,2020-03-20,26,76,1092,3203,34,13,29,18.46096617101487,0.999970000899973,75.99772006839795,73.28676731094659,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,7,17,1,2020-03-20,26,76,1177,3578,19,33,24,18.461335386646134,0.999990000099999,75.99924000759992,73.28728729014725,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,8,17,1,2020-03-20,27,77,1205,3459,20,37,20,18.461335386646134,0.999990000099999,76.99923000769992,74.28727729024726,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,9,17,1,2020-03-20,23,73,945,3007,22,37,14,18.46096617101487,0.999970000899973,72.99781006569803,70.28685730824667,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,10,17,1,2020-03-20,32,82,1372,3441,28,32,22,18.46096617101487,0.999970000899973,81.9975400737978,79.28658731634643,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,11,17,1,2020-03-20,29,79,1448,3969,16,38,25,18.46115077698446,0.999980000399992,78.99842003159937,76.28696729914705,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,12,17,1,2020-03-20,32,82,1440,3667,25,29,28,18.46115077698446,0.999980000399992,81.99836003279934,79.28690730034702,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,13,17,1,2020-03-20,30,80,1289,3358,20,39,21,18.46152,1.0,80.0,77.28754728754728,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,14,17,1,2020-03-20,36,86,1327,3477,31,34,21,18.46152,1.0,86.0,83.28754728754728,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,15,17,1,2020-03-20,31,81,1350,3621,27,26,28,18.46152,1.0,81.0,78.28754728754728,2020-03-20,1019.0,55.19588852922186,standard_2_5
2,16,17,1,2020-03-20,35,85,1751,4123,25,24,36,18.461335386646134,0.999990000099999,84.99915000849992,82.28719729104725,2020-03-20,1019.0,55.19588852922186,standard_2_5
